Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,HouseAge,YearsSinceRemodel,OverallScore,TotalOutdoorSF
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,GasA,TA,Y,SBrkr,0,1339,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,TA,TA,Y,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml,139000,2368,1.0,51,44,5.5,294.0
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,GasA,Ex,Y,SBrkr,0,2376,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,TA,TA,Y,0,0,0,0,,,,0,11,2006,New,Partial,325300,3534,3.5,1,0,6.5,1627.0
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,GasA,Ex,Y,FuseF,0,1108,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,TA,TA,N,205,0,0,0,,GdPrv,,0,6,2007,WD,Normal,139400,1745,1.0,77,57,7.0,280.0
23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,GasA,Ex,Y,SBrkr,0,1795,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,9,2008,WD,Normal,230000,3572,2.0,6,6,6.5,1145.0
24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,GasA,TA,Y,SBrkr,0,1060,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,TA,TA,Y,0,0,0,0,,,,0,6,2007,WD,Normal,129900,2100,2.0,31,31,6.0,782.0
25,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,GasA,Ex,Y,SBrkr,0,1060,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,TA,TA,Y,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,154000,2120,2.0,42,9,6.5,766.0
26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,GasA,Ex,Y,SBrkr,0,1600,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,TA,TA,Y,0,0,0,0,,,,0,7,2009,WD,Normal,256300,3166,2.0,2,2,6.5,1586.0
27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,GasA,TA,Y,SBrkr,0,900,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,TA,TA,Y,0,0,0,0,,,,0,5,2010,WD,Normal,134800,1800,1.5,59,10,6.0,830.0
28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,GasA,Ex,Y,SBrkr,0,1704,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,TA,TA,Y,0,0,0,0,,,,0,5,2010,WD,Normal,306000,3408,3.0,3,2,6.5,1022.0
29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,GasA,TA,Y,SBrkr,0,1600,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,TA,TA,Y,0,0,0,0,,,,0,12,2006,WD,Normal,207500,3084,2.0,49,9,5.5,865.0
30,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,GasA,Fa,N,SBrkr,0,520,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,Fa,TA,Y,87,0,0,0,,,,0,5,2008,WD,Normal,68500,1040,1.0,81,58,5.0,289.0
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,GasA,TA,N,SBrkr,0,1317,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,TA,Fa,N,172,0,0,0,,MnPrv,,0,7,2008,WD,Normal,40000,1966,1.0,88,58,4.0,304.0
32,20,RL,,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,GasA,Gd,Y,SBrkr,0,1228,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,TA,TA,Y,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,149350,2456,1.5,42,2,5.5,336.0
33,20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,GasA,Ex,Y,SBrkr,0,1234,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,1,2008,WD,Normal,179900,2468,2.0,1,1,6.5,514.0
34,20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,GasA,Gd,Y,SBrkr,0,1700,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,4,2010,WD,Normal,165500,3098,2.0,51,51,5.0,485.0
35,120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,GasA,Ex,Y,SBrkr,0,1561,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,TA,TA,Y,0,0,0,0,,,,0,8,2007,WD,Normal,277500,3122,3.0,2,2,7.0,1052.0
36,60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,GasA,Ex,Y,SBrkr,0,2452,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,TA,TA,Y,0,0,0,0,,,,0,9,2006,WD,Normal,309000,3569,3.5,2,1,6.5,968.0
37,20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,GasA,Ex,Y,SBrkr,0,1097,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,TA,TA,Y,0,0,0,0,,,,0,6,2009,WD,Normal,145000,2194,1.5,15,14,5.0,1128.0
38,20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,GasA,Gd,Y,SBrkr,0,1297,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,TA,TA,Y,0,0,0,0,,,,0,10,2009,WD,Normal,153000,2594,1.5,55,19,5.5,1148.0
39,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,GasA,TA,Y,SBrkr,0,1057,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,TA,TA,Y,0,0,0,0,,,,0,1,2010,WD,Abnorml,109000,2114,2.0,57,3,6.0,298.0
40,90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,,TA,TA,PConc,,,,,0,,0,0,GasA,TA,N,FuseP,0,1152,2,2,Fa,6,Typ,0,,,,,0,,,N,0,0,0,0,,,,0,6,2008,WD,AdjLand,82000,1152,2.0,53,53,4.5,0.0
41,20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,GasA,Ex,Y,SBrkr,0,1324,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,TA,TA,Y,0,0,0,0,,GdWo,,0,12,2006,WD,Abnorml,160000,2412,2.0,41,41,5.5,679.0
42,20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,GasA,Gd,Y,SBrkr,0,1328,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,TA,TA,P,0,0,0,0,,,,0,7,2007,WD,Normal,170000,2678,2.0,48,48,5.5,412.0
43,85,RL,,9180,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,GasA,Gd,Y,SBrkr,0,884,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,TA,Gd,Y,0,0,0,0,,MnPrv,,0,12,2007,WD,Normal,144000,1724,2.0,24,24,6.0,744.0
44,20,RL,,9200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,GasA,TA,Y,SBrkr,0,938,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,TA,TA,Y,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal,130250,1876,2.0,33,28,5.5,453.0
45,20,RL,70.0,7945,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,GasA,Ex,Y,FuseA,0,1150,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,TA,TA,Y,0,0,0,0,,,,0,5,2006,WD,Normal,141000,2300,2.0,47,47,5.5,300.0
46,120,RL,61.0,7658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,GasA,Ex,Y,SBrkr,0,1752,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,TA,TA,Y,0,0,0,0,,,,0,2,2010,WD,Normal,319900,3504,3.0,5,5,7.0,1266.0
47,50,RL,48.0,12822,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,GasA,Ex,Y,SBrkr,0,2149,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,TA,TA,Y,0,0,198,0,,,,0,8,2009,WD,Abnorml,239686,3583,2.5,6,6,6.0,881.0
48,20,FV,84.0,11096,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,GasA,Ex,Y,SBrkr,0,1656,3,1,Gd,7,Typ,0,,Attchd,2006.0,RFn,3,TA,TA,Y,0,0,0,0,,,,0,7,2007,WD,Normal,249700,3312,2.0,1,1,6.5,972.0
49,190,RM,33.0,4456,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,GasA,Gd,Y,SBrkr,0,1452,2,3,TA,8,Typ,0,,,,,0,,,N,102,0,0,0,,,,0,6,2009,New,Partial,113000,2188,2.0,89,1,4.5,0.0
50,20,RL,66.0,7742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,GasA,Ex,Y,SBrkr,0,955,3,1,TA,6,Typ,0,,Attchd,1966.0,Unf,1,TA,TA,Y,0,0,0,0,,MnPrv,,0,1,2007,WD,Normal,127000,1910,2.0,41,41,6.0,386.0
51,60,RL,,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,GasA,Gd,Y,SBrkr,0,1470,3,1,TA,6,Typ,0,,Attchd,1997.0,Fin,2,TA,TA,Y,0,0,0,0,,,,0,7,2007,WD,Normal,177000,2264,2.5,10,10,6.0,463.0
52,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,GasA,TA,Y,SBrkr,360,1176,3,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,TA,TA,Y,0,0,0,0,,MnPrv,Shed,400,9,2006,WD,Normal,114500,1632,1.0,72,56,6.0,640.0
53,90,RM,110.0,8472,Grvl,,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,GasA,TA,N,SBrkr,0,816,2,1,TA,5,Typ,0,,CarPort,1963.0,Unf,2,TA,TA,Y,0,0,0,0,,,,0,5,2010,WD,Normal,110000,1632,2.0,47,47,5.0,622.0
54,20,RL,68.0,50271,Pave,,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,GasA,Gd,Y,SBrkr,0,1842,0,1,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,TA,TA,Y,0,0,0,0,,,,0,11,2006,WD,Normal,385000,3684,2.5,25,19,7.0,1823.0
